supplier,supplier_sku,ean,product_name,match_type,supplier_price_basis,case_qty,unit_cost_ex_vat,unit_cost_inc_vat,case_cost_ex_vat,case_cost_inc_vat,decision,decision_reason,risk_flags
Shure Cosmetics,SCS22669,5060194139257,Airpure Designer Collection Deep Oud Air Freshener Refill Tin - 250ml (9257),UNIT,UNIT,1,1.05,1.26,,,REJECT,No Amazon match found,
Shure Cosmetics,SCS61266,5060194139899,Airpure Designer Collection Deep Oud Body Spray - 150ml (9899),UNIT,UNIT,1,0.95,1.14,,,REJECT,No Amazon match found,
Shure Cosmetics,SCS22670,5060194139318,Airpure Designer Collection Deep Oud Trigger Air Freshener Spray - 250ml (9318),UNIT,UNIT,1,1.1,1.32,,,REJECT,No Amazon match found,
Shure Cosmetics,SCS22850,5060194139233,Airpure Designer Collection Millennium Gold Air Freshener Refill Tin - 250ml (9233),UNIT,UNIT,1,1.05,1.26,,,REJECT,No Amazon match found,
Shure Cosmetics,SCS22852,5060194139295,Airpure Designer Collection Millennium Gold Trigger Air Freshener Spray - 250ml (9295),UNIT,UNIT,1,1.1,1.32,,,REJECT,No Amazon match found,
Shure Cosmetics,SCS22666,5060194139240,Airpure Designer Collection My Victory Air Freshener Refill Tin - 250ml (9240),UNIT,UNIT,1,1.05,1.26,,,REJECT,No Amazon match found,
Shure Cosmetics,SCS22671,5060194139301,Airpure Designer Collection My Victory Trigger Air Freshener Spray - 250ml (9301),UNIT,UNIT,1,1.1,1.32,,,REJECT,No Amazon match found,
Shure Cosmetics,SCS61564,5061092120330,Airpure Designer Collection Oud Touch Reed Diffuser - 1000ml (0330),UNIT,UNIT,1,9.35,11.219999999999999,,,REJECT,No Amazon match found,
Shure Cosmetics,SCS22668,5060194139226,Airpure Designer Collection Poppy Noir Air Freshener Refill Tin - 250ml (9226),UNIT,UNIT,1,1.05,1.26,,,REJECT,No Amazon match found,
Shure Cosmetics,SCS61264,5060194139868,Airpure Designer Collection Poppy Noir Body Spray - 100ml (9868),UNIT,UNIT,1,0.75,0.8999999999999999,,,REJECT,No Amazon match found,
